StartDate,Value (kWh),notes
1/6/2016 0:00,1.057,weekday
1/6/2016 1:00,1.171,weekday
1/6/2016 2:00,0.56,weekday
1/6/2016 3:00,0.828,weekday
1/6/2016 4:00,0.932,weekday
1/6/2016 5:00,0.333,weekday
1/6/2016 6:00,0.462,weekday
1/6/2016 7:00,0.493,weekday
1/6/2016 8:00,0.325,weekday
1/6/2016 9:00,0.294,weekday
1/6/2016 10:00,0.273,weekday
1/6/2016 11:00,0.723,weekday
1/6/2016 12:00,0.426,weekday
1/6/2016 13:00,0.421,weekday
1/6/2016 14:00,0.447,weekday
1/6/2016 15:00,0.496,weekday
1/6/2016 16:00,0.523,weekday
1/6/2016 17:00,3.647,weekday
1/6/2016 18:00,3.018,weekday
1/6/2016 19:00,3.326,weekday
1/6/2016 20:00,2.175,weekday
1/6/2016 21:00,2.973,weekday
1/6/2016 22:00,2.994,weekday
1/6/2016 23:00,1.794,weekday
2/6/2016 0:00,1.281,weekend
2/6/2016 1:00,1.169,weekend
2/6/2016 2:00,1.231,weekend
2/6/2016 3:00,0.909,weekend
2/6/2016 4:00,0.825,weekend
2/6/2016 5:00,0.55,weekend
2/6/2016 6:00,0.514,weekend
2/6/2016 7:00,0.536,weekend
2/6/2016 8:00,0.657,weekend
2/6/2016 9:00,0.655,weekend
2/6/2016 10:00,0.886,weekend
2/6/2016 11:00,0.894,weekend
2/6/2016 12:00,0.824,weekend
2/6/2016 13:00,0.55,weekend
2/6/2016 14:00,0.537,weekend
2/6/2016 15:00,0.799,weekend
2/6/2016 16:00,0.833,weekend
2/6/2016 17:00,3.408,weekend
2/6/2016 18:00,3.071,weekend
2/6/2016 19:00,1.642,weekend
2/6/2016 20:00,0.896,weekend
2/6/2016 21:00,2.71,weekend
2/6/2016 22:00,1.176,weekend
2/6/2016 23:00,2.236,weekend
3/6/2016 0:00,0.736,weekend
3/6/2016 1:00,1.102,weekend
3/6/2016 2:00,0.624,weekend
3/6/2016 3:00,0.595,weekend
3/6/2016 4:00,0.702,weekend
3/6/2016 5:00,0.308,weekend
3/6/2016 6:00,0.364,weekend
3/6/2016 7:00,0.534,weekend
3/6/2016 8:00,0.471,weekend
3/6/2016 9:00,0.356,weekend
3/6/2016 10:00,0.263,weekend
3/6/2016 11:00,0.314,weekend
3/6/2016 12:00,0.349,weekend
3/6/2016 13:00,0.517,weekend
3/6/2016 14:00,0.408,weekend
3/6/2016 15:00,0.417,weekend
3/6/2016 16:00,0.561,weekend
3/6/2016 17:00,2.164,weekend
3/6/2016 18:00,2.055,weekend
3/6/2016 19:00,1.863,weekend
3/6/2016 20:00,1.258,weekend
3/6/2016 21:00,1.381,weekend
3/6/2016 22:00,1.163,weekend
3/6/2016 23:00,0.742,weekend
4/6/2016 0:00,0.636,weekday
4/6/2016 1:00,0.955,weekday
4/6/2016 2:00,0.717,weekday
4/6/2016 3:00,0.671,weekday
4/6/2016 4:00,0.692,weekday
4/6/2016 5:00,0.313,weekday
4/6/2016 6:00,0.3,weekday
4/6/2016 7:00,0.282,weekday
4/6/2016 8:00,0.525,weekday
4/6/2016 9:00,0.558,weekday
4/6/2016 10:00,0.365,weekday
4/6/2016 11:00,0.402,weekday
4/6/2016 12:00,0.445,weekday
4/6/2016 13:00,0.283,weekday
4/6/2016 14:00,0.303,weekday
4/6/2016 15:00,0.588,weekday
4/6/2016 16:00,1.559,weekday
4/6/2016 17:00,3.027,weekday
4/6/2016 18:00,1.983,weekday
4/6/2016 19:00,1.514,weekday
4/6/2016 20:00,1.557,weekday
4/6/2016 21:00,2.045,weekday
4/6/2016 22:00,1.031,weekday
4/6/2016 23:00,2.132,weekday
5/6/2016 0:00,1.033,weekday
5/6/2016 1:00,0.857,weekday
5/6/2016 2:00,0.711,weekday
5/6/2016 3:00,0.686,weekday
5/6/2016 4:00,0.311,weekday
5/6/2016 5:00,0.293,weekday
5/6/2016 6:00,0.339,weekday
5/6/2016 7:00,0.324,weekday
5/6/2016 8:00,0.435,weekday
5/6/2016 9:00,0.458,weekday
5/6/2016 10:00,0.306,weekday
5/6/2016 11:00,0.412,weekday
5/6/2016 12:00,0.796,weekday
5/6/2016 13:00,1.922,weekday
5/6/2016 14:00,1.486,weekday
5/6/2016 15:00,1.671,weekday
5/6/2016 16:00,1.549,weekday
5/6/2016 17:00,2.44,weekday
5/6/2016 18:00,1.864,weekday
5/6/2016 19:00,1.314,weekday
5/6/2016 20:00,1.195,weekday
5/6/2016 21:00,2.347,weekday
5/6/2016 22:00,1.256,weekday
5/6/2016 23:00,1.19,weekday
6/6/2016 0:00,0.885,weekday
6/6/2016 1:00,0.739,weekday
6/6/2016 2:00,0.987,weekday
6/6/2016 3:00,0.65,weekday
6/6/2016 4:00,0.757,weekday
6/6/2016 5:00,0.287,weekday
